2B,410,CEK,2968,DME,4029,,0,CR2
2B,410,CEK,2968,KZN,2990,,0,CR2
2B,410,CEK,2968,OVB,4078,,0,CR2
2B,410,DME,4029,CEK,2968,,0,CR2
2B,410,DME,4029,JOK,6161,,0,YK4
2B,410,DME,4029,KGD,2952,,0,CR2
2B,410,DME,4029,MQF,2969,,0,CR2
2B,410,DME,4029,NBC,3769,,0,CR2
2B,410,DME,4029,PEZ,6165,,0,YK4
2B,410,DME,4029,TBW,6466,,0,YK4
2B,410,DME,4029,UUA,6160,,0,CR2
2B,410,JOK,6161,DME,4029,,0,YK4
2B,410,KGD,2952,DME,4029,,0,CR2
2B,410,KZN,2990,CEK,2968,,0,CR2
2B,410,KZN,2990,UUA,6160,,0,CR2
2B,410,LED,2948,KZN,2990,,0,CR2
2B,410,LED,2948,NBC,3769,,0,CR2
2B,410,LED,2948,PEZ,6165,,0,YK4
2B,410,LED,2948,UUA,6160,,0,CR2
2B,410,MQF,2969,DME,4029,,0,CR2
2B,410,NBC,3769,DME,4029,,0,CR2
2B,410,NJC,2972,UUA,6160,,0,CR2
2B,410,OVB,4078,CEK,2968,,0,CR2
2B,410,PEZ,6165,DME,4029,,0,YK4
2B,410,PEZ,6165,LED,2948,,0,YK4
2B,410,TBW,6466,DME,4029,,0,YK4
2B,410,UUA,6160,DME,4029,,0,CR2
2B,410,UUA,6160,KZN,2990,,0,CR2
2B,410,UUA,6160,LED,2948,,0,CR2
2B,410,UUA,6160,NJC,2972,,0,CR2
2E,\N,HOM,3664,SOV,\N,,0,CNC
2E,\N,PGM,\N,SOV,\N,,0,CNC
2E,\N,SOV,\N,HOM,3664,,0,CNC
2E,\N,SOV,\N,PGM,\N,,0,CNC
2I,8359,ANS,2787,LIM,2789,,0,141
2I,8359,AQP,2802,JUL,2792,,0,142
2I,8359,AQP,2802,LIM,2789,,0,142 141
2I,8359,AYP,2786,LIM,2789,,0,142 141
2I,8359,CIX,2785,LIM,2789,,0,142
2I,8359,CIX,2785,TRU,2804,,0,142
2I,8359,CUZ,2812,LIM,2789,,0,141 142
2I,8359,CUZ,2812,PEM,2808,,0,142
2I,8359,CUZ,2812,RBR,2609,,0,141
2I,8359,HUU,6067,LIM,2789,,0,141
2I,8359,IQT,2801,PCL,2781,,0,143 142
2I,8359,IQT,2801,TPP,2806,,0,143 142
2I,8359,JAU,\N,LIM,2789,,0,141 142
2I,8359,JUL,2792,AQP,2802,,0,142
2I,8359,LIM,2789,ANS,2787,,0,141
2I,8359,LIM,2789,AQP,2802,,0,142 141
2I,8359,LIM,2789,AYP,2786,,0,142 141
2I,8359,LIM,2789,CIX,2785,,0,142
2I,8359,LIM,2789,CUZ,2812,,0,141 142
2I,8359,LIM,2789,HUU,6067,,0,141
2I,8359,LIM,2789,JAU,\N,,0,141 142
2I,8359,LIM,2789,PCL,2781,,0,143 142
2I,8359,LIM,2789,TPP,2806,,0,143 142
2I,8359,LIM,2789,TRU,2804,,0,142
2I,8359,PCL,2781,IQT,2801,,0,143 142
2I,8359,PCL,2781,LIM,2789,,0,143 142
2I,8359,PCL,2781,TPP,2806,,0,143
2I,8359,PEM,2808,CUZ,2812,,0,142
2I,8359,RBR,2609,CUZ,2812,,0,141
2I,8359,TPP,2806,IQT,2801,,0,143 142
2I,8359,TPP,2806,LIM,2789,,0,143 142
2I,8359,TPP,2806,PCL,2781,,0,143
2I,8359,TRU,2804,CIX,2785,,0,142
2I,8359,TRU,2804,LIM,2789,,0,142
2I,8359,TRU,2804,TYL,2810,,0,142
2I,8359,TYL,2810,TRU,2804,,0,142
2J,470,ABJ,253,ACC,248,,0,M87
2J,470,ABJ,253,BOY,247,,0,CRJ
2J,470,ABJ,253,OUA,246,,0,M87
2J,470,ACC,248,ABJ,253,,0,M87
2J,470,ACC,248,OUA,246,,0,M87 CRJ
2J,470,BKO,1044,DKR,1084,,0,M87
2J,470,BKO,1044,ORY,1386,Y,0,321
2J,470,BKO,1044,OUA,246,,0,CRJ M87
2J,470,BOY,247,ABJ,253,,0,CRJ
2J,470,BOY,247,OUA,246,,0,CRJ
2J,470,COO,245,DLA,897,,0,M87
2J,470,COO,245,LBV,970,,0,M87
2J,470,COO,245,OUA,246,,0,M87
2J,470,DKR,1084,BKO,1044,,0,M87
2J,470,DKR,1084,OUA,246,,0,M87
2J,470,DLA,897,COO,245,,0,M87
2J,470,LBV,970,COO,245,,0,M87
2J,470,LFW,298,OUA,246,,0,CRJ
2J,470,NIM,280,OUA,246,,0,CRJ M87
2J,470,ORY,1386,OUA,246,Y,0,321
2J,470,OUA,246,ABJ,253,,0,M87
2J,470,OUA,246,ACC,248,,0,CRJ M87
2J,470,OUA,246,BKO,1044,,0,CRJ M87
2J,470,OUA,246,BOY,247,,0,CRJ
2J,470,OUA,246,COO,245,,0,M87
2J,470,OUA,246,DKR,1084,,0,M87
2J,470,OUA,246,LFW,298,,0,CRJ
2J,470,OUA,246,NIM,280,,0,CRJ M87
2K,1338,BOG,2709,UIO,2688,,0,320 319 733
2K,1338,CUE,2671,UIO,2688,,0,732 737
2K,1338,GPS,2672,GYE,2673,,0,320 732 319
2K,1338,GYE,2673,CUE,2671,,0,732
2K,1338,GYE,2673,GPS,2672,,0,320 732 319
2K,1338,GYE,2673,UIO,2688,,0,732 319 320
2K,1338,MEC,2683,UIO,2688,,0,319 320
2K,1338,UIO,2688,BOG,2709,,0,320 319 733
2K,1338,UIO,2688,CUE,2671,,0,732 737
2K,1338,UIO,2688,GYE,2673,,0,319 320 732 733
2K,1338,UIO,2688,MEC,2683,,0,319 320
2L,2750,BDS,1506,BRN,1676,,0,100
2L,2750,BDS,1506,ZRH,1678,,0,100
2L,2750,BRI,1501,ZRH,1678,,0,100
2L,2750,BRN,1676,BDS,1506,,0,100
2L,2750,BRN,1676,PMI,3998,,0,100
2L,2750,CWL,488,ZRH,1678,,0,100
2L,2750,PMI,3998,BRN,1676,,0,100
2L,2750,RLG,772,ZRH,1678,,0,100
2L,2750,ZRH,1678,BDS,1506,,0,100
2L,2750,ZRH,1678,BRI,1501,,0,100
2L,2750,ZRH,1678,CWL,488,,0,100
2L,2750,ZRH,1678,RLG,772,,0,100
2M,3529,BUD,1489,KIV,1735,,0,S20
2M,3529,KIV,1735,BUD,1489,,0,S20
2M,3529,KIV,1735,SAW,4317,,0,S20
2M,3529,SAW,4317,KIV,1735,,0,S20
2N,5501,AJR,730,LYC,719,,0,ATP
2N,5501,ARN,737,HFS,5594,,0,BEH
2N,5501,ARN,737,KRF,718,,0,ATP
2N,5501,ARN,737,LYC,719,,0,ATP
2N,5501,ARN,737,MXX,698,,0,BEH
2N,5501,ARN,737,VBY,746,,0,SF3
2N,5501,ARN,737,VHM,729,,0,SF3 ATP
2N,5501,BMA,738,OSD,5593,,0,SF3
2N,5501,CPH,609,LPI,742,,0,SF3
2N,5501,EVG,714,MXX,698,,0,BEH
2N,5501,GEV,715,KRF,718,,0,ATP
2N,5501,HFS,5594,ARN,737,,0,BEH
2N,5501,HFS,5594,TYF,5596,,0,BEH
2N,5501,HMV,5599,VHM,729,,0,SF3 ATP
2N,5501,KRF,718,ARN,737,,0,ATP
2N,5501,KRF,718,GEV,715,,0,ATP
2N,5501,LLA,734,UME,728,,0,SF3
2N,5501,LPI,742,CPH,609,,0,SF3
2N,5501,LPI,742,ORB,731,,0,SF3
2N,5501,LYC,719,AJR,730,,0,ATP
